Angles of attack,[0.0, 10.0, 1.0]
Reynolds numbers,[15000.0, 30000.0, 45000.0, 60000.0]
ncrits,[2.5, 3.0]

aoa_ld,[3.0, 4.0, 5.0]
inv_min_drag_scaling,0.25

dat file,thickness,max_thickness_x,avg_max_lift,avg_max_lift_angle,avg_max_lift_to_drag,avg_max_lift_to_drag_angle,avg_min_drag,avg_min_drag_angle,avg l/d at aoa_ld angles,(1/avg_min_drag) / divider,global score,status
e836.dat,0.1264,0.42784,0.632151812034,9.0,17.0923246925,5.625,0.0313699941509,3.735,13.3566625869,7.96939899948,21.3260615863,ok
lwk80120k25.dat,0.12062,0.40245,0.716247495122,9.0,17.717797656,6.64875,0.0295585879144,2.115,12.7140457445,8.45777886022,21.1718246048,ok
naca001065.dat,0.1,0.5,0.727840802035,8.13375,15.6368640008,5.76,0.0302100465314,0.61875,12.8590982218,8.27539274858,21.1344909703,ok
ea61012.dat,0.12,0.3,0.612379795625,8.62875,14.9959783884,5.6475,0.0296061872869,2.8575,12.4259140105,8.44418085913,20.8700948697,ok
n63015a.dat,0.14992,0.35,0.698952608323,9.0,18.6147904122,7.2675,0.031769450299,0.86625,12.9996814795,7.86919501745,20.8688764969,ok
naca001066.dat,0.1,0.6,0.789969952967,8.01,16.1565078602,5.76,0.03408798579,1.485,13.5323117521,7.33396222178,20.8662739739,ok
e473.dat,0.1619,0.21239,0.723861246082,8.87625,16.9761414963,6.39,0.0334980516662,0.495,13.2708080024,7.46312061643,20.7339286189,ok
e477.dat,0.15354,0.31651,0.709320924407,9.0,18.6267423454,7.14375,0.0319458421141,0.75375,12.7879559033,7.82574455566,20.6137004589,ok
n64008a.dat,0.07996,0.4,0.735441367084,7.2675,14.3772004338,4.37625,0.0344992361234,0.0,13.3177616841,7.24653725972,20.5642989438,ok
naca0018.dat,0.18006,0.3,0.705333324456,8.7525,17.377556453,6.51375,0.0348221667524,0.495,12.7997516392,7.17933498446,19.9790866237,ok
n64015a.dat,0.14974,0.4,0.660783398498,9.0,17.2659369484,7.02,0.0323715799043,0.75375,12.2183085589,7.72282356125,19.9411321202,ok
e479.dat,0.16568,0.25734,0.720125927292,9.0,17.4148021208,7.1325,0.0329259759243,0.495,12.2905797047,7.59278937015,19.8833690749,ok
e521.dat,0.13768,0.37019,0.705917731234,9.0,18.3474495735,7.515,0.0322731447016,3.47625,12.0600190091,7.74637867836,19.8063976875,ok
ys900.dat,0.09006,0.52491,0.664221105326,7.00875,12.8461742429,4.51125,0.0293333054714,0.99,10.830296719,8.52273536795,19.353032087,ok
naca001035.dat,0.1,0.5,0.625581881883,8.01,13.1480892596,5.38875,0.0289139271642,1.5075,10.6766387619,8.64635227792,19.3229910398,ok
ah85l120.dat,0.1211,0.43474,0.663208087521,8.87625,15.2646586054,5.6475,0.032816947782,1.98,11.6920714803,7.61801498605,19.3100864664,ok
fxlv152.dat,0.1528,0.37056,0.724791058227,9.0,18.0278406103,7.7625,0.0329870769088,0.63,11.5696126152,7.57872547153,19.1483380868,ok
naca16012.dat,0.12,0.5,0.718255058826,8.2575,15.5132001194,5.7825,0.0347968180465,0.86625,11.9026459893,7.18456496987,19.0872109592,ok
s1046.dat,0.1699,0.30811,0.704064997987,9.0,17.3708210095,7.36875,0.0336522857717,0.495,11.506122101,7.42891587501,18.9350379761,ok
fx71l150.dat,0.15,0.33928,0.701607806311,9.0,16.6686488432,7.39125,0.0332816837043,0.7425,11.1118687815,7.51163920135,18.6235079828,ok
fx711530.dat,0.15,0.33928,0.701607806311,9.0,16.6686488432,7.39125,0.0332816837043,0.7425,11.1118687815,7.51163920135,18.6235079828,ok
goe410.dat,0.161,0.3,0.599870449614,8.7525,15.3330761142,7.02,0.0338117279209,0.61875,10.8288008274,7.39388417489,18.2226850023,ok
fx711525.dat,0.15002,0.33928,0.697870973638,9.0,16.2307477262,7.38,0.0335617445259,1.3725,10.6399529504,7.44895724377,18.0889101942,ok
fx711520.dat,0.15002,0.33928,0.702103776882,9.0,15.8196270705,7.14375,0.0340183745208,1.36125,10.4525239634,7.34896959427,17.8014935577,ok
e476.dat,0.16728,0.31687,0.659760105944,9.0,16.6600074208,7.515,0.0350580189578,0.63,10.3605749443,7.13103613472,17.491611079,ok
e520.dat,0.15008,0.3674,0.680683519452,9.0,17.2155118649,8.01,0.0345376555156,2.37375,10.1497086211,7.23847627374,17.3881848948,ok
naca0021.dat,0.21008,0.3,0.630615402026,8.24625,14.3897727684,6.62625,0.0406512944051,0.7425,10.2711812459,6.14986567239,16.4210469183,ok
n64015.dat,0.14964,0.35,0.545926281984,8.7525,14.2004574546,7.63875,0.0342501397559,0.7425,8.95318703693,7.2992402887,16.2524273256,ok
e837.dat,0.16106,0.36943,0.624738591659,9.0,15.4841992617,8.2575,0.0354012101415,0.86625,8.90640430739,7.0619054829,15.9683097903,ok
naca633018.dat,0.18014,0.33928,0.628220885363,9.0,13.8564509479,8.38125,0.0381142668969,0.7425,8.57744613674,6.55922362815,15.1366697649,ok
naca16015.dat,0.15,0.5,0.754451050904,9.0,14.6101125359,7.39125,0.0422054287637,2.26125,9.05514902992,5.92340860698,14.9785576369,ok
goe460.dat,0.205,0.3,0.548261625616,8.87625,10.6492183423,7.63875,0.0453617951672,0.61875,7.20556013899,5.51124573176,12.7168058707,ok
naca0024.dat,0.24008,0.3,0.554895428251,8.62875,10.2302514409,7.7625,0.0476150186568,0.61875,7.14704062408,5.25044423067,12.3974848547,ok
