Angles of attack,(0.0, 10.0, 1.0)
Reynolds numbers,[15000.0, 30000.0, 45000.0, 60000.0]
ncrits,[2.5, 3.0]

aoa_ld,[3.0, 4.0, 5.0]
inv_min_drag_scaling,0.25

dat file,thickness,max_thickness_x,avg_max_lift,avg_max_lift_angle,avg_max_lift_to_drag,avg_max_lift_to_drag_angle,avg_min_drag,avg_min_drag_angle,avg l/d at aoa_ld angles,(1/avg_min_drag) / divider,global score,status
n64012.dat,0.11962,0.4,0.665542480803,8.9775,17.9592470249,5.4225,0.0268719053198,0.225,14.5535731958,9.30339687585,23.8569700716,ok
naca001065.dat,0.1,0.5,0.740580166545,7.98125,16.7710585523,5.52125,0.026884350721,0.20875,14.4180012277,9.2990901136,23.7170913413,ok
naca001066.dat,0.1,0.6,0.809149158805,7.82875,17.3784676976,5.495,0.030765744198,1.18125,14.9339840383,8.12592077706,23.0599048154,ok
naca0018.dat,0.18006,0.3,0.715957769661,8.76375,19.0695791465,6.04125,0.0314267842945,0.21375,14.2043412918,7.95499780243,22.1593390942,ok
ys900.dat,0.09006,0.52491,0.667001936873,6.6575,14.3934791132,3.89125,0.0266930648338,1.115,12.7544459799,9.36572857246,22.1201745524,ok
n64015a.dat,0.14974,0.4,0.6725,9.0,19.3040131664,6.89625,0.0295919240051,0.21375,13.5753156671,8.44825094702,22.0235666142,ok
naca001035.dat,0.1,0.5,0.634087311,6.88,15.236157789,4.72375,0.0266710237665,0.52375,12.3125172438,9.37346845734,21.6859857011,ok
s1046.dat,0.1699,0.30811,0.70707034152,8.9325,19.0166188637,6.45375,0.030708156491,0.22625,12.7025713056,8.14115950181,20.8437308074,ok
naca16012.dat,0.12,0.5,0.762595189643,8.13,16.8534504782,6.16,0.0314475984471,0.515,12.4514635107,7.94973264559,20.4011961563,ok
n64015.dat,0.14964,0.35,0.545385665325,8.62875,15.6780834604,7.52625,0.0322699174786,0.27,10.4282355534,7.74715337174,18.1753889251,ok
naca0021.dat,0.21008,0.3,0.665750279961,8.02125,15.9329924569,6.66,0.0357513203088,0.2475,11.1491436564,6.99274873881,18.1418923952,ok
naca633018.dat,0.18014,0.33928,0.6383625,9.0,14.9444691299,8.62875,0.0358252159949,0.18,9.77934985471,6.97832498862,16.7576748433,ok
naca16015.dat,0.15,0.5,0.69545,7.875,15.2387435265,7.0075,0.0387853806768,1.8425,9.4764927359,6.44572763338,15.9222203693,ok
naca0024.dat,0.24008,0.3,0.567209461727,8.2125,11.0797011515,7.47,0.0411574354678,0.32625,7.74316032879,6.07423657861,13.8173969074,ok
s1016.dat,0.17484,0.41848,0.59215,9.0,13.4404532324,8.74125,0.040141405121,4.455,6.29828081236,6.22798328176,12.5262640941,ok
naca16018.dat,0.18,0.5,0.684504018359,8.91,13.4133402826,8.3025,0.0463294116841,5.79375,6.79468054697,5.39614018207,12.190820729,ok
s1014.dat,0.16508,0.42222,0.5799625,8.875,13.5212239263,8.78625,0.0387344797543,4.7925,5.59888890609,6.45419795454,12.0530868606,ok
naca16021.dat,0.21,0.5,0.636172923579,8.85375,11.6260454461,8.3475,0.0550711630605,6.12,4.98935948654,4.53958090054,9.52894038708,ok
n66021.dat,0.21,0.45,0.2785125,9.0,4.46696562343,9.0,0.0606889059597,5.79375,1.54058789589,4.11936903535,5.65995693124,ok
